"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","setup","Surefire suite","Tue Aug 19 20:20:38 UTC 2025","broken","Tue Aug 19 20:20:38 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","setup"
"","1","checkRunNodeZero","Surefire suite","Tue Aug 19 20:20:38 UTC 2025","skipped","Tue Aug 19 20:20:39 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeZero"
